CompletionTime_us,FlowType,SizeBytes,FCT_us
139294,Mouse,4479,73
139382,Mouse,4674,73
139392,Mouse,3384,71
139401,Elephant,272424,851
139448,Mouse,3998,74
139450,Mouse,3812,67
139465,Mouse,4064,67
139523,Mouse,3081,68
139655,Elephant,375039,982
139685,Mouse,4173,68
139693,Mouse,3278,66
139714,Mouse,4437,65
139797,Mouse,4194,64
139800,Mouse,3536,66
139818,Mouse,4732,69
139889,Mouse,5104,65
139970,Mouse,5010,65
139993,Mouse,4371,68
140004,Mouse,4948,74
140008,Mouse,5408,77
140124,Mouse,5004,68
140142,Mouse,3750,67
140214,Mouse,3877,74
140229,Mouse,5348,69
140292,Mouse,5514,75
140325,Mouse,4564,77
140345,Mouse,5301,82
140403,Mouse,5129,91
140419,Mouse,5004,95
140456,Mouse,3519,94
140468,Mouse,5076,99
140513,Elephant,410673,1074
140555,Mouse,5652,96
140573,Mouse,4519,90
140631,Elephant,130548,635
140651,Mouse,5258,68
140737,Mouse,3757,65
140820,Mouse,3446,64
140829,Mouse,5097,66
140850,Mouse,4503,69
140953,Mouse,3869,69
140981,Mouse,4750,68
141002,Mouse,5007,73
141066,Mouse,4955,70
141111,Mouse,4042,73
141126,Mouse,5402,80
141377,Mouse,5782,127
141428,Mouse,3567,143
141458,Mouse,3170,155
141628,Elephant,552277,1735
141631,Mouse,5082,174
141645,Mouse,4147,174
141677,Mouse,4462,176
141693,Elephant,319732,1381
141697,Mouse,3605,174
141730,Mouse,5552,149
141761,Mouse,4964,129
141845,Mouse,3926,86
141869,Mouse,5475,88
141980,Mouse,4280,112
142107,Mouse,5078,143
142153,Mouse,4022,153
142191,Mouse,3006,153
142255,Mouse,4283,164
142276,Mouse,3503,168
142313,Mouse,5793,174
142395,Mouse,3177,187
142460,Mouse,3525,186
142508,Mouse,4876,179
142527,Mouse,5833,169
142642,Mouse,5509,149
142757,Mouse,5593,154
142806,Mouse,5616,168
142815,Mouse,4633,173
142835,Mouse,3769,179
142845,Elephant,413584,2056
142875,Mouse,4854,175
142951,Mouse,4935,163
142990,Mouse,4457,162
142990,Mouse,4789,164
143045,Mouse,3586,129
143064,Mouse,3437,136
143077,Elephant,246483,1931
143121,Elephant,268587,1828
143134,Mouse,3382,143
143140,Mouse,4296,129
143152,Mouse,3024,123
143166,Mouse,5571,130
143273,Mouse,3717,126
143289,Mouse,3057,128
143290,Mouse,3839,130
143356,Mouse,3417,130
143439,Mouse,5175,149
143453,Mouse,3400,148
143478,Mouse,4024,146
143526,Mouse,3535,160
143531,Mouse,5345,163
143536,Mouse,5159,166
143571,Elephant,490390,2350
143598,Elephant,347635,2463
143605,Mouse,5823,140
143860,Mouse,4083,99
143874,Mouse,3893,104
143920,Mouse,4644,115
143931,Mouse,4200,117
143973,Elephant,471420,2721
143977,Mouse,3541,111
144106,Mouse,5660,80
144251,Mouse,3504,100
144280,Mouse,5629,107
144313,Mouse,4871,114
144439,Mouse,4881,120
144518,Elephant,567926,2679
144530,Mouse,3047,125
144580,Elephant,447394,1606
144742,Mouse,3846,80
144748,Mouse,3720,83
144780,Mouse,5178,92
144873,Mouse,3173,89
144914,Elephant,35343,294
145063,Mouse,4142,114
145120,Elephant,91526,549
145193,Mouse,4939,120
145231,Mouse,4230,125
145263,Mouse,3798,131
145268,Mouse,4327,124
145405,Mouse,4822,158
145464,Elephant,182215,934
145501,Mouse,4885,168
145555,Mouse,3821,175
145627,Mouse,5043,164
145628,Mouse,4266,168
145674,Mouse,4136,154
145682,Mouse,3346,153
145689,Elephant,509166,1709
145690,Mouse,5584,156
145737,Mouse,4294,140
145750,Mouse,3581,122
145801,Mouse,3209,107
145847,Mouse,4922,104
145861,Mouse,5423,109
145944,Mouse,5616,135
146057,Mouse,4215,156
146134,Mouse,3324,156
146188,Mouse,4123,164
146199,Mouse,3956,167
146208,Mouse,3507,165
146231,Elephant,32105,417
146243,Elephant,200973,1400
146267,Elephant,342051,1711
146360,Mouse,5123,101
146367,Mouse,4768,95
146370,Mouse,3657,90
146638,Mouse,4475,120
146893,Elephant,128341,1116
146953,Mouse,5207,181
146990,Mouse,5156,181
147123,Mouse,3057,168
147146,Elephant,282648,1926
147214,Mouse,3733,146
147246,Mouse,3824,137
147273,Mouse,4928,146
147279,Elephant,305569,1548
147323,Mouse,4796,141
147348,Mouse,5046,141
147358,Mouse,4672,141
147411,Mouse,5659,143
147433,Mouse,3592,138
147436,Mouse,3797,137
147532,Mouse,5780,139
147550,Mouse,5649,145
147607,Elephant,514878,2459
147644,Mouse,5584,146
