CompletionTime_us,FlowSize_B,FCT_us
174429,2605,225
174596,8102,240
174627,104855,5424
174635,22981,376
174680,204207,16727
174764,447182,22257
174827,35725,477
174955,51676,153
174995,81852,183
175023,20084,341
175033,24681,352
175106,78157,4341
175114,40346,125
175122,35089,651
175305,55649,1635
175346,5931,67
175383,19769,108
175393,51047,2015
175398,10025,201
175408,308862,20784
175581,54702,1699
175640,25776,113
175662,1385805,1427
175724,31010,346
175747,36590,660
175881,9223,203
175884,56109,2437
175961,1880328,75961
176028,3339,192
176072,63690,1349
176262,182830,12443
176297,4135610,3899
176301,9554,200
176337,45693,1416
176410,35230,366
176554,145,209
176626,22645,418
176637,34824,696
176678,5494,205
176681,44770,1309
176707,67055,168
176776,55044,1725
176788,6446,244
176872,877156,53373
177056,451172,29173
177110,4019,217
177226,176614,11644
177278,55664,1653
177282,5901,184
177321,1981,211
177365,44552,1811
177379,78164,3353
177380,15833,380
177408,78576,3637
177532,1471171,64402
177533,7883,266
177634,46060,872
177735,69213,723
177739,31817,666
177793,68810,168
177835,1628667,1734
177849,66351,3178
177960,5119,252
178035,8168865,7429
178044,39526,127
178101,16187,342
178110,28052,461
178124,70013,2831
178249,1281900,71223
178309,9821,69
178406,32334,561
178411,990267,57569
178420,794,214
178478,8211,188
178549,690430,46472
178598,14105,221
178618,25302,113
178754,978167,44161
178762,187320,13432
178806,46110,1389
178851,531442,41545
178904,338750,22880
178950,3858,195
178962,797605,54690
179001,712,203
179023,74961,2491
179031,27862,506
179082,76637,4046
179090,22730,364
179114,75937,4382
179144,805128,50123
179146,28777,115
179167,48668,1622
179325,63212,3271
179454,584190,49249
179488,1278,213
179597,679557,1123
179605,773956,26682
179667,2816,63
179824,45714,452
179870,4885,210
179880,61438,596
179915,44194,147
180029,27577,403
180215,9966266,9520
180335,1464654,70502
180399,327337,24541
180455,22394,381
180649,55979,1308
180706,78729,808
180780,176398,13148
180799,23288,321
180831,1602065,73720
180887,5867,66
180966,4391,176
181053,26538,116
181120,17597,377
181196,26968,555
181202,157413,10566
181289,86084,4443
181341,46770,1687
181433,47544,1506
181436,50448,2069
181485,767193,44020
181729,76941,4075
181766,79256,1518
181810,8699,210
181922,19339,326
181923,225789,18329
181929,575505,47057
181930,5863,231
182017,1087637,68309
182023,13411,74
182056,90642,190
182068,5634,225
182104,6898,69
182117,119874,8967
182132,1554930,1704
182149,4862,220
182248,21845,373
182324,63223,2901
182342,262741,19520
182400,74000,1896
182409,24690,359
182497,48343,1272
182563,15532,394
182588,21754,338
182589,174187,11246
